SMILES,MHFP,first_class,second_class,type,num_id,chain_type,carbon_chain_length,ring_size,functional_group,CF2,CF3,CFX,cf_length,group_id,predicted_toxicity,Uncertainty
O=C(CI)NCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[207361274  33988699  84487243 ...  16631887  43796935 151237944],Other PFASs,others,4,1861,straight,13.0,,Amine,7,1,0,8,Other PFASs_others_straight_13.0_Amine_NA_CF2_7_CF3_1_CFX_0,4.56253,0.26182646
C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[348874680  71013085  17313015 ... 253630925 101031895  36136210],Other PFASs,Si PFASs,4,1862,straight,7.0,,Ether,3,1,0,4,Other PFASs_Si PFASs_straight_7.0_Ether_NA_CF2_3_CF3_1_CFX_0,2.6041315,0.2582776
O=C1OC(O)(C(F)(C(F)(F)F)C(F)(F)F)c2c(F)c(F)c(F)c(F)c21,[ 33612974   2148147  78177578 ... 210694286  15412375 169374042],Other PFASs,Aromatic PFASs,4,1863,cyclic,,5.0,Ester,0,2,5,7,Other PFASs_Aromatic PFASs_cyclic_NA_Ester_5.0_CF2_0_CF3_2_CFX_5,1.9631015,0.24257928
O=C(N(c1ccccc1)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  4489977   8492060  97181807 ...   6946993 107767783  22134620],Other PFASs,Aromatic PFASs,4,1864,cyclic,,6.0,Amine,7,1,0,8,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_7_CF3_1_CFX_0,4.4527807,0.2626121
CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,1865,straight,20.0,,Halogen,11,1,0,12,Other PFASs_Polyfluoroalkanes_straight_20.0_Halogen_NA_CF2_11_CF3_1_CFX_0,3.5866508,0.24990325
O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,[   853465 303014816  87855067 ...  37687752 101296679 151237944],PFAAs,PFECAs,1,1866,straight,7.0,,Carboxylic Acid,3,2,1,6,PFAAs_PFECAs_straight_7.0_Carboxylic Acid_NA_CF2_3_CF3_2_CFX_1,5.6874824,0.2891981
FC(F)(F)C(F)(F)C(F)(F)c1nccc2ccccc12,[124031924  39139378  61234772 ...  17799215  28481671  57102588],Other PFASs,Aromatic PFASs,4,1867,cyclic,,6.0,Aromatic,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_6.0_CF2_2_CF3_1_CFX_0,2.718944,0.2574254
FC(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 328816003  14046279 151237944],PFAA precursors,PolyFAenes,2,1868,straight,9.0,,Double bond,5,2,0,7,PFAA precursors_PolyFAenes_straight_9.0_Unknown_NA_CF2_5_CF3_2_CFX_0,2.4835284,0.25530136
CCC(CN)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699 107816900 ... 553112776 108799879 151237944],Other PFASs,others,4,1869,branched,7.0,,Amine,2,1,0,3,Other PFASs_others_branched_7.0_Amine_NA_CF2_2_CF3_1_CFX_0,2.1648529,0.2547244
FC(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,[231382269  29741236 159473681 ... 186412826 137279543 147560248],PFAA precursors,HFEs,2,1870,branched,5.0,,Ether,0,4,0,4,PFAA precursors_HFEs_branched_5.0_Ether_NA_CF2_0_CF3_4_CFX_0,4.947422,0.27969837
FC(F)=C(F)OC(F)(F)C(F)(F)I,[156871382 101247092  20760171 ... 274131234 101296679 174175058],PFAA precursors,PolyFEAenes,2,1871,straight,4.0,,Ether,3,0,1,4,PFAA precursors_PolyFEAenes_straight_4.0_Ether_NA_CF2_3_CF3_0_CFX_1,2.4659903,0.2532763
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647 104111782  97181807 ... 413328262 128847015  46460802],PFAA precursors,n:1 FTOHs,2,1872,straight,16.0,,Alcohol,14,1,0,15,PFAA precursors_n:1 FTOHs_straight_16.0_Alcohol_NA_CF2_14_CF3_1_CFX_0,3.9518926,0.24709243
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(Br)C(F)(F)Br,[   853465   9635651  33612732 ... 185861723  23638503  71007262],Other PFASs,PFPEs,4,1873,straight,8.0,,Ether,4,2,2,8,Other PFASs_PFPEs_straight_8.0_Ether_NA_CF2_4_CF3_2_CFX_2,5.3840704,0.2810029
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(P(c2ccccc2)c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,[250618452 104111782  97181807 ... 154732742  43796935  93860188],Other PFASs,Aromatic PFASs,4,1874,cyclic,,6.0,Aromatic,10,2,0,12,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_6.0_CF2_10_CF3_2_CFX_0,5.542685,0.25637418
CC(C)CC(C)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[113638662  29089014  97181807 ... 171882282  36611703  81234300],PFAA precursors,HFEs,2,1875,branched,14.0,,Ether,5,1,0,6,PFAA precursors_HFEs_branched_14.0_Ether_NA_CF2_5_CF3_1_CFX_0,2.7427325,0.2333483
O=[N+]([O-])c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1,[  7060930 312252844 115092797 ... 144813810  72176439 208028644],Other PFASs,Aromatic PFASs,4,1876,cyclic,,6.0,Amine,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_0_CF3_2_CFX_1,2.8456042,0.25664854
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[235162622 680578323  63064138 ...  53870161 281920279 151237944],Other PFASs,Polyfluoroalkanes,4,1877,straight,6.0,,Halogen,6,0,0,6,Other PFASs_Polyfluoroalkanes_straight_6.0_Halogen_NA_CF2_6_CF3_0_CFX_0,2.4263651,0.25453025
C[Si](C)(C)O[Si](C)(C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F,[146941168  88063690  54228732 ...  11942334 103410503  70364794],Other PFASs,Si PFASs,4,1878,straight,16.0,,Si,6,2,0,8,Other PFASs_Si PFASs_straight_16.0_Unknown_NA_CF2_6_CF3_2_CFX_0,4.0227723,0.25560287
CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,1879,straight,23.0,,None,11,1,0,12,PFAA precursors_HFCs_straight_23.0_Unknown_NA_CF2_11_CF3_1_CFX_0,3.7105522,0.25175008
C[N+](C)(CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)CCC(=O)O,[  7935073  33988699  47002521 ...   3633108  43796935 118698336],Polyfluoroalkyl acids,PolyFCA derivatives,3,1880,branched,22.0,,Carboxylic Acid,8,2,1,11,Polyfluoroalkyl acids_PolyFCA derivatives_branched_22.0_Carboxylic Acid_NA_CF2_8_CF3_2_CFX_1,2.6318586,0.15676725
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[187923589  33988699  17313015 ... 136323818  90036311 151237944],PFAA precursors,PASF-based substances,2,1881,straight,13.0,,Amine,6,1,0,7,PFAA precursors_PASF-based substances_straight_13.0_Amine_NA_CF2_6_CF3_1_CFX_0,4.356415,0.26740026
O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[207530443  71278405  95504826 ... 171882282  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,1882,straight,19.0,,Alcohol,15,1,0,16,PFAA precursors_n:2 fluorotelomer-based substances_straight_19.0_Alcohol_NA_CF2_15_CF3_1_CFX_0,3.9828696,0.23025323
CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,1883,straight,20.0,,None,11,1,0,12,PFAA precursors_HFCs_straight_20.0_Unknown_NA_CF2_11_CF3_1_CFX_0,3.6950965,0.24967551
C[N+](C)([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[187923589  33988699  17313015 ... 136323818  90036311 151237944],PFAA precursors,PASF-based substances,2,1884,straight,11.0,,Amine,5,1,0,6,PFAA precursors_PASF-based substances_straight_11.0_Amine_NA_CF2_5_CF3_1_CFX_0,3.7195797,0.23491953
CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,1885,straight,24.0,,None,5,1,0,6,PFAA precursors_HFCs_straight_24.0_Unknown_NA_CF2_5_CF3_1_CFX_0,2.7842546,0.25824183
CC(=O)/C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[153245596 104111782  97181807 ...  65874932   9798663 117362326],PFAA precursors,PFAK derivatives,2,1886,straight,11.0,,ketone,6,1,1,8,PFAA precursors_PFAK derivatives_straight_11.0_Unknown_NA_CF2_6_CF3_1_CFX_1,3.069162,0.2534575
CCCCCOC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  40010548  97181807 ...   8587256 281920279 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,3,1887,straight,12.0,,Ester,3,1,0,4,Polyfluoroalkyl acids_PolyFCA derivatives_straight_12.0_Ester_NA_CF2_3_CF3_1_CFX_0,2.1892462,0.24818076
OCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 328816003  14046279 151237944],PFAA precursors,PolyFAC derivatives,2,1888,straight,9.0,,Alcohol,5,1,0,6,PFAA precursors_PolyFAC derivatives_straight_9.0_Alcohol_NA_CF2_5_CF3_1_CFX_0,2.448255,0.25390047
O=C(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[ 31946214  23316950  11781626 ... 199524352 124409255 151237944],PFAA precursors,PFAKs,2,1889,branched,6.0,,ketone,1,3,1,5,PFAA precursors_PFAKs_branched_6.0_Unknown_NA_CF2_1_CF3_3_CFX_1,2.9632149,0.2580042
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[600729727 722753583 232751249 ... 611624164 212375735 261466434],Other PFASs,Perfluoroalkanes,4,1890,branched,4.0,,None,0,3,1,4,Other PFASs_Perfluoroalkanes_branched_4.0_Unknown_NA_CF2_0_CF3_3_CFX_1,2.15465,0.2551626
FC(F)(F)C(F)(F)C(F)(F)C(/C=C/I)(C(F)(F)F)C(F)(F)F,[250618452  94390089  92943922 ...  57414303 281920279 151237944],PFAA precursors,PolyFAenes,2,1891,branched,8.0,,Halogen,2,3,0,5,PFAA precursors_PolyFAenes_branched_8.0_Halogen_NA_CF2_2_CF3_3_CFX_0,3.0004904,0.26268488
CC(=O)C(C(C)=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 174789374  85552407 151237944],PFAA precursors,PFAK derivatives,2,1892,branched,10.0,,ketone,3,1,0,4,PFAA precursors_PFAK derivatives_branched_10.0_Unknown_NA_CF2_3_CF3_1_CFX_0,3.2979088,0.2605927
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[104828107 104111782  97181807 ... 203154325  14046279 151237944],PFAA precursors,HFOs,2,1893,straight,6.0,,Double bond,3,1,0,4,PFAA precursors_HFOs_straight_6.0_Unknown_NA_CF2_3_CF3_1_CFX_0,2.0996532,0.25605687
CCOC(=O)c1ccccc1C(F)(F)C(F)(F)C(F)(F)F,[250618452 162490790  14316170 ... 176223008 128307591  29516144],Other PFASs,Aromatic PFASs,4,1894,cyclic,,6.0,Ester,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Ester_6.0_CF2_2_CF3_1_CFX_0,1.8468585,0.22706771
Cc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(C)c1,[250618452   8492060  41603599 ...  54552999  49046199 151237944],Other PFASs,Aromatic PFASs,4,1895,cyclic,,6.0,Amine,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_2_CF3_1_CFX_0,2.3656495,0.2582772
O=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 164897051  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,1896,straight,10.0,,Aldehyde,7,1,0,8,PFAA precursors_n:2 fluorotelomer-based substances_straight_10.0_Aldehyde_NA_CF2_7_CF3_1_CFX_0,2.7643318,0.25525573
FC(F)(F)C(F)(F)CCSCC1CO1,[250618452  14881643 107816900 ...  67219091 182528983 151237944],"Other PFASs, cyclic","others, cyclic",4,1897,cyclic,,3.0,Ether,1,1,0,2,"Other PFASs, cyclic_others, cyclic_cyclic_NA_Ether_3.0_CF2_1_CF3_1_CFX_0",3.417112,0.24897632
OCC(O)COCC(F)(F)C(F)(F)C(F)(F)F,[35941647 73299756 44473385 ... 15634821 33758967 46460802],PFAA precursors,PolyFEACs,2,1898,straight,7.0,,Alcohol,2,1,0,3,PFAA precursors_PolyFEACs_straight_7.0_Alcohol_NA_CF2_2_CF3_1_CFX_0,2.192871,0.2534515
O=C(O)/C=C/C(F)(F)C(F)(F)C(F)(F)F,[216993070  78691711 107816900 ... 291378977  14046279  64829236],Polyfluoroalkyl acids,PolyFCA derivatives,3,1899,straight,6.0,,Carboxylic Acid,2,1,0,3,Polyfluoroalkyl acids_PolyFCA derivatives_straight_6.0_Carboxylic Acid_NA_CF2_2_CF3_1_CFX_0,1.8602469,0.22634207
O=C(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F)C(F)(F)F,[   853465 275083219 107816900 ...  65408281  94972823  63887868],PFAA precursors,PAECFs,2,1900,straight,7.0,,Ether,3,2,2,7,PFAA precursors_PAECFs_straight_7.0_Ether_NA_CF2_3_CF3_2_CFX_2,5.1701555,0.2727922
FC(F)(F)OC(F)(F)C(F)(F)Cl,[111000236  52880295 293101578 ... 489249107 101296679  70269816],Other PFASs,PFPEs,4,1901,straight,3.0,,Ether,2,1,0,3,Other PFASs_PFPEs_straight_3.0_Ether_NA_CF2_2_CF3_1_CFX_0,1.5656893,0.17648482
FC(F)(F)C(F)(F)C(F)(F)COCC1CO1,[ 35941647  73299756 107816900 ...  67219091 281920279  46460802],"PFAA precursors, cyclic","HFEs, cyclic",2,1902,cyclic,,3.0,Ether,2,1,0,3,"PFAA precursors, cyclic_HFEs, cyclic_cyclic_NA_Ether_3.0_CF2_2_CF3_1_CFX_0",3.565793,0.267498
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)SCl,[250618452 104111782  91294490 ... 149261763  22965431 151237944],Other PFASs,others,4,1903,straight,6.0,,Halogen,5,1,0,6,Other PFASs_others_straight_6.0_Halogen_NA_CF2_5_CF3_1_CFX_0,3.1105566,0.25699744
O=C(O)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,[250618452  24668814   2943996 ...  36690505  39337911 115795448],PFAAs,PFCAs,1,1904,branched,8.0,,Carboxylic Acid,1,4,1,6,PFAAs_PFCAs_branched_8.0_Carboxylic Acid_NA_CF2_1_CF3_4_CFX_1,2.7134748,0.256791
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,[250618452  58869667 107816900 ... 285534043  69000183 151237944],"Other PFASs, cyclic","Perfluoroalkanes, cyclic",4,1905,cyclic,,6.0,None,6,0,0,6,"Other PFASs, cyclic_Perfluoroalkanes, cyclic_cyclic_NA_Unknown_6.0_CF2_6_CF3_0_CFX_0",2.915166,0.25297138
O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  7060930   8492060  97181807 ...  54552999  72176439 151237944],Other PFASs,Aromatic PFASs,4,1906,cyclic,,6.0,Amine,5,1,0,6,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_5_CF3_1_CFX_0,4.5529213,0.27371565
FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[111000236 201948856  63064138 ...  53870161 281920279 151237944],Other PFASs,Polyfluoroalkanes,4,1907,straight,6.0,,Halogen,6,0,0,6,Other PFASs_Polyfluoroalkanes_straight_6.0_Halogen_NA_CF2_6_CF3_0_CFX_0,2.4591808,0.25456044
CCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,1908,straight,21.0,,Halogen,9,1,0,10,Other PFASs_Polyfluoroalkanes_straight_21.0_Halogen_NA_CF2_9_CF3_1_CFX_0,3.280949,0.25252488
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1[N+](=O)[O-],[  7060930 205702718  54868432 ... 144813810  72176439 126397210],Other PFASs,Aromatic PFASs,4,1909,cyclic,,6.0,Amine,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_0_CF3_2_CFX_1,2.9195247,0.25672317
O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465 205622229 107816900 ... 189837130 101296679  50610154],PFAAs,PFECAs,1,1910,straight,7.0,,Carboxylic Acid,3,2,1,6,PFAAs_PFECAs_straight_7.0_Carboxylic Acid_NA_CF2_3_CF3_2_CFX_1,4.3024683,0.27512133
CN(C)CCCNC(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452   1815513 107816900 ...  16631887  43796935   6807840],Other PFASs,others,4,1911,branched,19.0,,Alcohol,8,2,1,11,Other PFASs_others_branched_19.0_Alcohol_NA_CF2_8_CF3_2_CFX_1,3.6197903,0.23839627
C=CC(=O)OCCN(CCCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 136323818 138388023  81500836],PFAA precursors,PASF-based substances,2,1912,straight,16.0,,Ester,6,1,0,7,PFAA precursors_PASF-based substances_straight_16.0_Ester_NA_CF2_6_CF3_1_CFX_0,3.4946423,0.1853169
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,2,1913,straight,18.0,,Phosphate,15,1,0,16,PFAA precursors_n:2 fluorotelomer-based substances_straight_18.0_Phosphate_NA_CF2_15_CF3_1_CFX_0,3.8607311,0.21952303
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  85244370  18439196 ...  15279529  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,1914,straight,12.0,,Ester,6,1,0,7,PFAA precursors_n:2 fluorotelomer-based substances_straight_12.0_Ester_NA_CF2_6_CF3_1_CFX_0,3.0760522,0.25244266
CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,1915,straight,11.0,,Halogen,7,1,0,8,Other PFASs_Polyfluoroalkanes_straight_11.0_Halogen_NA_CF2_7_CF3_1_CFX_0,2.788988,0.25253016
CCCCCCCC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[178291359 104111782  97181807 ... 200578621  14046279  51400916],PFAA precursors,SFAenes,2,1916,straight,14.0,,Double bond,3,1,0,4,PFAA precursors_SFAenes_straight_14.0_Unknown_NA_CF2_3_CF3_1_CFX_0,2.2063465,0.25313926
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,1917,straight,32.0,,Halogen,18,2,0,20,Other PFASs_Polyfluoroalkanes_straight_32.0_Halogen_NA_CF2_18_CF3_2_CFX_0,4.6218104,0.25703955
CC(C)C(=O)C(F)(C(F)(F)F)C(F)(F)F,[192331950 256570935 232751249 ... 611624164 105626007 244387368],PFAA precursors,PFAK derivatives,2,1918,branched,7.0,,ketone,0,2,1,3,PFAA precursors_PFAK derivatives_branched_7.0_Unknown_NA_CF2_0_CF3_2_CFX_1,1.9206784,0.24426655
O=C(N1CCCCC1)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 194511214  23638503  71007262],"Other PFASs, cyclic","PFPEs, cyclic",4,1919,cyclic,,6.0,Ether,3,3,2,8,"Other PFASs, cyclic_PFPEs, cyclic_cyclic_NA_Ether_6.0_CF2_3_CF3_3_CFX_2",6.3091927,0.2886434
FC(F)(F)C(F)(F)C(F)(F)CC1CO1,[ 78558515 115150703 107816900 ...  52063218  91993927 145874996],"Other PFASs, cyclic","others, cyclic",4,1920,cyclic,,3.0,Ether,2,1,0,3,"Other PFASs, cyclic_others, cyclic_cyclic_NA_Ether_3.0_CF2_2_CF3_1_CFX_0",3.2535145,0.26390857
CCN(CCOCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  32511046  17313015 ... 136323818 138388023  98778836],PFAA precursors,PASF-based substances,2,1921,straight,14.0,,Alcohol,7,1,0,8,PFAA precursors_PASF-based substances_straight_14.0_Alcohol_NA_CF2_7_CF3_1_CFX_0,3.7681992,0.24568783
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,1922,straight,36.0,,Halogen,22,2,0,24,Other PFASs_Polyfluoroalkanes_straight_36.0_Halogen_NA_CF2_22_CF3_2_CFX_0,5.2581253,0.2560675
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,[  1426846 154242801 107816900 ... 207038152  47326567  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,3,1923,branched,9.0,,Ester,4,0,0,4,Polyfluoroalkyl acids_PolyFCA derivatives_branched_9.0_Ester_NA_CF2_4_CF3_0_CFX_0,1.9298906,0.21478863
F/C(=C(/F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,[349253427 147051302 155709947 ...  65874932  25505383 201568010],PFAA precursors,PFAenes,2,1924,branched,6.0,,Double bond,0,3,3,6,PFAA precursors_PFAenes_branched_6.0_Unknown_NA_CF2_0_CF3_3_CFX_3,2.225349,0.25495216
CCOC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  40010548  14316170 ...   8587256 281920279 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,3,1925,straight,9.0,,Ester,3,1,0,4,Polyfluoroalkyl acids_PolyFCA derivatives_straight_9.0_Ester_NA_CF2_3_CF3_1_CFX_0,2.0242867,0.21528813
CC[Si](CC)(CC)Oc1ccc(CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1O[Si](CC)(CC)CC,[129455665   6721701  97181807 ... 109480764  43796935 151237944],Other PFASs,Aromatic PFASs,4,1926,cyclic,,6.0,Thioether,5,1,0,6,Other PFASs_Aromatic PFASs_cyclic_NA_Thioether_6.0_CF2_5_CF3_1_CFX_0,1.9944406,0.15571198
C=CC(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  85244370  97181807 ... 171882282  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,1927,straight,12.0,,Ester,5,1,0,6,PFAA precursors_n:2 fluorotelomer-based substances_straight_12.0_Ester_NA_CF2_5_CF3_1_CFX_0,3.6933694,0.25923625
Cc1c(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[nH]c2ccccc12,[ 28342675  39139378  63689098 ... 120433618  63876583  67475700],Other PFASs,Aromatic PFASs,4,1928,cyclic,,5.0,Aromatic,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_5.0_CF2_3_CF3_1_CFX_0,2.8883588,0.25581887
O=CCC(F)(C(F)(F)F)C(F)(F)F,[354323625 276210056 232751249 ... 472237856 422801479 186891834],PFAA precursors,n:2 fluorotelomer-based substances,2,1929,branched,5.0,,Aldehyde,0,2,1,3,PFAA precursors_n:2 fluorotelomer-based substances_branched_5.0_Aldehyde_NA_CF2_0_CF3_2_CFX_1,2.0599058,0.24886318
C=CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...   1095206 281920279  88906274],Other PFASs,others,4,1930,straight,9.0,,Ether,3,1,0,4,Other PFASs_others_straight_9.0_Ether_NA_CF2_3_CF3_1_CFX_0,3.9766827,0.26628003
